tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,100,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,3,,,,,,,,,0,,,31,89
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,key_signature,0,1,0,,,,,Bb,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,0,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,time_signature,0,1,0,6,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,1379310,,,,,,,
0,program_change,0,0,4,,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,,0,0,,,,
0,text,0,1,1,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,91,127,,
0,control_change,0,0,2,,,,,,,,,0,7,100,,
0,control_change,0,0,3,,,,,,,,,0,7,100,,
0,control_change,0,0,4,,,,,,,,,0,7,100,,
1,marker,1,1,0,,,,,,,,,,,,,
3,control_change,3,0,3,,,,,,,,,0,64,127,,
480,set_tempo,479,1,0,,,,,,1379310,,,,,,,
480,note_on,0,0,3,,,,,,,,,0,,,34,62
480,note_on,477,0,3,,,,,,,,,0,,,31,0
540,note_on,0,0,3,,,,,,,,,0,,,38,65
540,note_on,60,0,3,,,,,,,,,0,,,34,0
560,set_tempo,80,1,0,,,,,,1363636,,,,,,,
600,note_on,0,0,3,,,,,,,,,0,,,43,68
600,note_on,60,0,3,,,,,,,,,0,,,38,0
600,set_tempo,40,1,0,,,,,,1348315,,,,,,,
640,set_tempo,40,1,0,,,,,,1212121,,,,,,,
652,set_tempo,12,1,0,,,,,,1200000,,,,,,,
660,note_on,60,0,3,,,,,,,,,0,,,43,0
660,note_on,0,0,3,,,,,,,,,0,,,46,71
664,set_tempo,12,1,0,,,,,,1176471,,,,,,,
680,set_tempo,16,1,0,,,,,,1165049,,,,,,,
692,set_tempo,12,1,0,,,,,,1142857,,,,,,,
704,set_tempo,12,1,0,,,,,,1121495,,,,,,,
720,set_tempo,16,1,0,,,,,,1250000,,,,,,,
720,note_on,0,0,3,,,,,,,,,0,,,50,74
720,note_on,60,0,3,,,,,,,,,0,,,46,0
732,set_tempo,12,1,0,,,,,,1090909,,,,,,,
772,set_tempo,40,1,0,,,,,,1081081,,,,,,,
780,note_on,0,0,3,,,,,,,,,0,,,55,76
780,note_on,60,0,3,,,,,,,,,0,,,50,0
800,set_tempo,28,1,0,,,,,,1071429,,,,,,,
824,set_tempo,24,1,0,,,,,,1061947,,,,,,,
840,note_on,60,0,3,,,,,,,,,0,,,55,0
840,note_on,0,0,3,,,,,,,,,0,,,58,76
852,set_tempo,28,1,0,,,,,,1052632,,,,,,,
880,set_tempo,28,1,0,,,,,,1043478,,,,,,,
900,note_on,0,0,3,,,,,,,,,0,,,62,79
900,note_on,60,0,3,,,,,,,,,0,,,58,0
904,set_tempo,24,1,0,,,,,,1034483,,,,,,,
932,set_tempo,28,1,0,,,,,,1025641,,,,,,,
960,set_tempo,28,1,0,,,,,,1428571,,,,,,,
960,note_on,60,0,3,,,,,,,,,0,,,62,0
960,note_on,0,0,3,,,,,,,,,0,,,67,86
973,control_change,13,0,3,,,,,,,,,0,64,0,,
1131,control_change,158,0,3,,,,,,,,,0,64,127,,
1424,set_tempo,464,1,0,,,,,,1428571,,,,,,,
1452,set_tempo,28,1,0,,,,,,1411765,,,,,,,
1464,set_tempo,12,1,0,,,,,,1395349,,,,,,,
1480,set_tempo,16,1,0,,,,,,1379310,,,,,,,
1492,set_tempo,12,1,0,,,,,,1363636,,,,,,,
1500,note_on,0,0,3,,,,,,,,,0,,,66,67
1500,note_on,369,0,3,,,,,,,,,0,,,67,0
1504,set_tempo,12,1,0,,,,,,1348315,,,,,,,
1520,set_tempo,16,1,0,,,,,,1333333,,,,,,,
1532,set_tempo,12,1,0,,,,,,1318681,,,,,,,
1544,set_tempo,12,1,0,,,,,,1304348,,,,,,,
1560,set_tempo,16,1,0,,,,,,1290323,,,,,,,
1560,note_on,60,0,3,,,,,,,,,0,,,66,0
1560,note_on,0,0,3,,,,,,,,,0,,,63,68
1572,set_tempo,12,1,0,,,,,,1276596,,,,,,,
1584,set_tempo,12,1,0,,,,,,1263158,,,,,,,
1600,set_tempo,16,1,0,,,,,,1250000,,,,,,,
1612,set_tempo,12,1,0,,,,,,1237113,,,,,,,
1620,note_on,60,0,3,,,,,,,,,0,,,63,0
1620,note_on,0,0,3,,,,,,,,,0,,,62,69
1624,set_tempo,12,1,0,,,,,,1224490,,,,,,,
1640,set_tempo,16,1,0,,,,,,1212121,,,,,,,
1652,set_tempo,12,1,0,,,,,,1200000,,,,,,,
1664,set_tempo,12,1,0,,,,,,1188119,,,,,,,
1680,set_tempo,16,1,0,,,,,,1176471,,,,,,,
1680,note_on,60,0,3,,,,,,,,,0,,,62,0
1680,note_on,0,0,3,,,,,,,,,0,,,60,69
1692,set_tempo,12,1,0,,,,,,1165049,,,,,,,
1704,set_tempo,12,1,0,,,,,,1153846,,,,,,,
1720,set_tempo,16,1,0,,,,,,1142857,,,,,,,
1732,set_tempo,12,1,0,,,,,,1132075,,,,,,,
1740,note_on,0,0,3,,,,,,,,,0,,,58,70
1740,note_on,60,0,3,,,,,,,,,0,,,60,0
1744,set_tempo,12,1,0,,,,,,1121495,,,,,,,
1760,set_tempo,16,1,0,,,,,,1111111,,,,,,,
1772,set_tempo,12,1,0,,,,,,1100917,,,,,,,
1784,set_tempo,12,1,0,,,,,,1090909,,,,,,,
1800,note_on,60,0,3,,,,,,,,,0,,,58,0
1800,note_on,0,0,3,,,,,,,,,0,,,57,71
1800,set_tempo,16,1,0,,,,,,1081081,,,,,,,
1812,set_tempo,12,1,0,,,,,,1071429,,,,,,,
1824,set_tempo,12,1,0,,,,,,1061947,,,,,,,
1840,set_tempo,16,1,0,,,,,,1052632,,,,,,,
1852,set_tempo,12,1,0,,,,,,1043478,,,,,,,
1860,note_on,60,0,3,,,,,,,,,0,,,57,0
1860,note_on,0,0,3,,,,,,,,,0,,,55,71
1864,set_tempo,12,1,0,,,,,,1034483,,,,,,,
1880,set_tempo,16,1,0,,,,,,1025641,,,,,,,
1892,set_tempo,12,1,0,,,,,,1016949,,,,,,,
1904,set_tempo,12,1,0,,,,,,1008403,,,,,,,
1920,set_tempo,16,1,0,,,,,,944882,,,,,,,
1920,note_on,60,0,3,,,,,,,,,0,,,55,0
1920,note_on,0,0,3,,,,,,,,,0,,,54,72
1944,set_tempo,24,1,0,,,,,,937500,,,,,,,
1960,set_tempo,16,1,0,,,,,,930233,,,,,,,
1972,set_tempo,12,1,0,,,,,,923077,,,,,,,
1980,note_on,60,0,3,,,,,,,,,0,,,54,0
1980,note_on,0,0,3,,,,,,,,,0,,,51,70
1984,set_tempo,12,1,0,,,,,,916031,,,,,,,
2000,set_tempo,16,1,0,,,,,,909091,,,,,,,
2012,set_tempo,12,1,0,,,,,,902256,,,,,,,
2024,set_tempo,12,1,0,,,,,,895522,,,,,,,
2040,note_on,60,0,3,,,,,,,,,0,,,51,0
2040,note_on,0,0,3,,,,,,,,,0,,,50,71
2040,set_tempo,16,1,0,,,,,,888889,,,,,,,
2052,set_tempo,12,1,0,,,,,,882353,,,,,,,
2080,set_tempo,28,1,0,,,,,,875912,,,,,,,
2092,set_tempo,12,1,0,,,,,,869565,,,,,,,
2100,note_on,0,0,3,,,,,,,,,0,,,48,72
2100,note_on,60,0,3,,,,,,,,,0,,,50,0
2104,set_tempo,12,1,0,,,,,,863309,,,,,,,
2120,set_tempo,16,1,0,,,,,,857143,,,,,,,
2132,set_tempo,12,1,0,,,,,,851064,,,,,,,
2144,set_tempo,12,1,0,,,,,,845070,,,,,,,
