tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
363860,note_on,,,,,4,0,1,,,,0,86,82
363944,control_change,,,,,84,0,1,,64,0,0,,
363992,note_on,,,,,48,0,1,,,,0,49,95
363994,note_on,,,,,2,0,1,,,,0,37,88
364022,control_change,,,,,28,0,1,,64,127,0,,
364046,note_off,,,,,24,0,1,,,,0,81,64
364054,note_off,,,,,8,0,1,,,,0,49,64
364056,note_off,,,,,2,0,1,,,,0,86,64
364058,note_off,,,,,2,0,1,,,,0,37,64
364060,note_off,,,,,2,0,1,,,,0,90,64
364068,note_off,,,,,8,0,1,,,,0,78,64
364144,note_on,,,,,76,0,1,,,,0,50,92
364148,note_on,,,,,4,0,1,,,,0,38,87
364210,note_off,,,,,62,0,1,,,,0,50,64
364232,note_off,,,,,22,0,1,,,,0,38,64
364296,note_on,,,,,64,0,1,,,,0,88,87
364296,note_on,,,,,0,0,1,,,,0,84,91
364298,note_on,,,,,2,0,1,,,,0,79,94
364300,note_on,,,,,2,0,1,,,,0,91,84
364348,control_change,,,,,48,0,1,,64,0,0,,
364438,note_on,,,,,0,0,1,,,,0,35,86
364438,note_on,,,,,90,0,1,,,,0,47,102
364440,control_change,,,,,2,0,1,,64,127,0,,
364454,note_off,,,,,14,0,1,,,,0,91,64
364472,note_off,,,,,0,0,1,,,,0,88,64
364472,note_off,,,,,18,0,1,,,,0,47,64
364472,note_off,,,,,0,0,1,,,,0,84,64
364474,note_off,,,,,2,0,1,,,,0,35,64
