tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,6,8,12,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,1071429,,,,,,
0,program_change,0,0,4,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,0,,,69,57
0,note_on,0,0,4,,,,,,,,0,,,65,57
0,key_signature,0,1,0,,,,,C,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,63,,
0,control_change,0,0,2,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,0,10,63,,
0,control_change,0,0,2,,,,,,,,0,10,63,,
0,control_change,0,0,3,,,,,,,,0,7,127,,
0,control_change,0,0,4,,,,,,,,0,7,127,,
0,control_change,0,0,4,,,,,,,,0,10,63,,
0,control_change,0,0,4,,,,,,,,0,64,127,,
96,note_on,0,0,4,,,,,,,,0,,,69,0
96,note_on,96,0,4,,,,,,,,0,,,65,0
117,set_tempo,117,1,0,,,,,,1195219,,,,,,
120,note_on,120,0,3,,,,,,,,0,,,53,64
240,note_on,0,0,4,,,,,,,,0,,,65,57
240,note_on,144,0,4,,,,,,,,0,,,69,57
244,set_tempo,127,1,0,,,,,,1069138,,,,,,
336,note_on,0,0,4,,,,,,,,0,,,69,0
336,note_on,96,0,4,,,,,,,,0,,,65,0
360,note_on,0,0,4,,,,,,,,0,,,67,57
360,note_on,24,0,4,,,,,,,,0,,,64,57
456,note_on,0,0,4,,,,,,,,0,,,64,0
456,note_on,96,0,4,,,,,,,,0,,,67,0
480,note_on,0,0,4,,,,,,,,0,,,62,57
480,note_on,24,0,4,,,,,,,,0,,,65,57
504,note_on,384,0,3,,,,,,,,0,,,53,0
520,control_change,40,0,4,,,,,,,,0,64,0,,
560,control_change,40,0,4,,,,,,,,0,64,127,,
576,note_on,0,0,4,,,,,,,,0,,,65,0
576,note_on,16,0,4,,,,,,,,0,,,62,0
597,set_tempo,353,1,0,,,,,,1160991,,,,,,
600,note_on,96,0,3,,,,,,,,0,,,53,64
720,note_on,0,0,4,,,,,,,,0,,,65,57
720,note_on,144,0,4,,,,,,,,0,,,62,57
724,set_tempo,127,1,0,,,,,,1069138,,,,,,
816,note_on,0,0,4,,,,,,,,0,,,62,0
816,note_on,96,0,4,,,,,,,,0,,,65,0
840,note_on,24,0,4,,,,,,,,0,,,64,57
840,note_on,0,0,4,,,,,,,,0,,,60,57
936,note_on,0,0,4,,,,,,,,0,,,64,0
936,note_on,96,0,4,,,,,,,,0,,,60,0
960,note_on,24,0,4,,,,,,,,0,,,62,57
960,note_on,0,0,4,,,,,,,,0,,,58,57
1008,note_on,408,0,3,,,,,,,,0,,,53,0
